age,gender,country,role,company_size,remote_work,family_history,employer_benefits,care_options,wellness_program,anonymity_protected,leave_ease,work_interfere,treatment
38,Male,UK,Manager,26-100,Always,0,No,Not sure,Yes,Yes,Don't know,Never,No
49,Non-binary,USA,Product Manager,1000+,Never,0,No,Yes,Yes,No,Very difficult,Sometimes,Yes
50,Male,UK,Software Engineer,1000+,Never,1,Yes,Yes,No,Don't know,Very difficult,Rarely,No
29,Female,India,DevOps,1-25,Sometimes,0,Yes,Yes,No,No,Somewhat difficult,Never,No
56,Non-binary,Australia,Designer,500-1000,Sometimes,1,Yes,Not sure,No,Don't know,Very difficult,Sometimes,Yes
30,Male,India,Researcher,1000+,Always,1,Don't know,Not sure,Don't know,Yes,Somewhat difficult,Rarely,Yes
43,Female,USA,DevOps,1000+,Always,0,Yes,Yes,No,No,Very difficult,Sometimes,No
40,Male,USA,QA,1000+,Never,0,Yes,No,No,Yes,Somewhat easy,Rarely,No
23,Male,UK,QA,500-1000,Sometimes,1,Don't know,Yes,No,Yes,Don't know,Rarely,No
53,Male,Sweden,Product Manager,500-1000,Sometimes,0,Don't know,Yes,Yes,Don't know,Somewhat difficult,Rarely,No
21,Male,India,Product Manager,26-100,Always,0,Yes,Yes,Yes,Yes,Very easy,Rarely,No
42,Male,Australia,Data Scientist,1000+,Always,0,Yes,Yes,Yes,Don't know,Don't know,Often,Yes
45,Male,USA,Researcher,101-500,Sometimes,0,Yes,No,Yes,Yes,Very difficult,Rarely,Yes
35,Female,France,Product Manager,1000+,Sometimes,0,Yes,Yes,Yes,Don't know,Somewhat difficult,Often,No
26,Male,Sweden,Product Manager,101-500,Never,0,Yes,Yes,Yes,Yes,Somewhat difficult,Often,Yes
36,Male,Brazil,Designer,500-1000,Always,0,Don't know,Not sure,No,Don't know,Very difficult,Often,Yes
35,Male,USA,Manager,101-500,Sometimes,1,Yes,Yes,Yes,No,Very easy,Rarely,Yes
35,Male,USA,Software Engineer,1000+,Sometimes,1,Yes,Yes,No,No,Somewhat difficult,Never,Yes
38,Female,Sweden,Manager,101-500,Never,1,Yes,No,No,No,Don't know,Rarely,No
34,Male,Brazil,Researcher,500-1000,Sometimes,0,Don't know,No,Yes,Yes,Somewhat easy,Often,Yes
28,Male,Sweden,Designer,101-500,Always,0,No,Yes,Yes,Yes,Somewhat difficult,Sometimes,Yes
43,Male,Canada,Data Scientist,500-1000,Sometimes,0,Yes,No,No,Don't know,Somewhat difficult,Never,No
24,Male,Brazil,QA,1-25,Sometimes,0,No,No,No,Yes,Very difficult,Rarely,Yes
30,Male,Sweden,Manager,1000+,Sometimes,0,Yes,Not sure,No,No,Very difficult,Rarely,Yes
52,Male,Germany,DevOps,26-100,Sometimes,0,Yes,Yes,No,Yes,Somewhat easy,Sometimes,Yes
30,Female,Canada,Designer,1-25,Always,0,Yes,Yes,No,No,Somewhat easy,Never,No
55,Female,Brazil,Designer,1000+,Never,0,Yes,No,Don't know,Yes,Somewhat easy,Never,Yes
38,Female,Canada,Manager,500-1000,Never,1,No,Yes,Yes,Yes,Very difficult,Often,Yes
30,Male,Germany,Manager,101-500,Always,1,Don't know,Not sure,No,Don't know,Very difficult,Often,Yes
47,Male,Canada,QA,101-500,Sometimes,1,Yes,Not sure,No,No,Very difficult,Sometimes,Yes
21,Non-binary,Australia,QA,1000+,Sometimes,0,Yes,Not sure,Don't know,Yes,Very difficult,Often,No
47,Female,USA,Manager,26-100,Never,1,No,No,Yes,No,Somewhat easy,Never,Yes
